Index,Value
799,0
800,0
801,54
802,3
803,3
804,0
805,0
806,1
807,1
808,0
809,22
810,56
811,3
812,0
813,10
814,7
815,0
816,0
817,87
818,1
819,1
820,69
821,43
822,0
823,0
824,1
825,0
826,0
827,0
828,0
829,0
830,0
831,1
832,45
833,1
834,3
835,1
836,1
837,43
838,1
839,1
840,3
841,1
842,0
843,0
844,2
845,1
846,4
847,0
848,0
849,3
850,31
851,1
852,3
853,0
854,0
855,0
856,0
857,39
858,1
859,47
860,0
861,0
862,0
863,2
864,9
865,0
866,16
867,0
868,15
869,1
870,1
871,0
872,0
873,6
874,1
875,10
876,1
877,0
878,1
879,0
880,5
881,0
882,1
883,44
884,81
885,0
886,50
887,8
888,194
889,9
890,0
891,2
892,49
893,1
894,64
895,5
896,4
897,1
898,45
899,2
900,1
901,1
902,72
903,1
904,3
905,9
906,43
907,6
908,0
909,0
910,42
911,1
912,59
913,59
914,1
915,4
916,151
917,27
918,2
919,1
920,3
921,7
922,201
923,20
924,49
925,101
926,2
927,73
928,0
929,0
930,1
931,0
932,0
933,44
934,1
935,4
936,6
937,4
938,1
939,2
940,2
941,83
942,11
943,4
944,12
945,8
946,1
947,0
948,0
949,0
950,2
951,2
952,6
953,25
954,377
955,60
956,1
957,0
958,321
959,46
960,4
961,1
962,2
963,0
964,4
965,22
966,34
967,4
968,15
969,412
970,69
971,28
972,38
973,2
974,41
975,0
976,74
977,34
978,4
979,51
980,1
981,3
982,1
983,10
984,0
985,0
986,157
987,57
988,1
989,0
990,1
991,0
992,25
993,572
994,351
995,6
996,71
997,4
998,9
999,1
1000,1
1001,1
1002,0
1003,43
1004,25
1005,50
1006,4
1007,13
1008,24
1009,17
1010,2
1011,102
1012,1
1013,200
1014,0
1015,19
1016,0
1017,5
1018,3
1019,23
1020,19
1021,1
1022,9
1023,18
1024,0
1025,0
1026,11
1027,0
1028,0
1029,61
1030,0
1031,0
1032,2
1033,0
1034,72
1035,2
1036,51
1037,6
1038,19
1039,14
1040,2
1041,259
1042,4
1043,24
1044,1
1045,2
1046,78
1047,2
1048,1
1049,4
1050,0
1051,1
1052,4
1053,1
1054,5
1055,1
1056,2
1057,1
1058,85
1059,1
1060,8
1061,1
1062,2
1063,971
1064,0
1065,0
1066,0
1067,0
1068,1
1069,0
1070,56
1071,1
1072,12
1073,159
1074,0
1075,4
1076,59
