Index,Value
797,4
798,6
799,5
800,2
801,3
802,53
803,867
804,440
805,365
806,338
807,42
808,28
809,795
810,2
811,11
812,2
813,8
814,2
815,2
816,4
817,12
818,4
819,4
820,9
821,5
822,25
823,15
824,82
825,97
826,427
827,210
828,4
829,39
830,17
831,6
832,1
833,4
834,2
835,6
836,4
837,1
838,7
839,1
840,0
841,1
842,1077
843,423
844,151
845,7
846,2
847,9
848,2
849,5
850,5
851,1
852,7
853,3
854,3
855,5
856,4
857,5
858,5
859,3
860,0
861,1
862,1
863,19
864,14
865,0
866,4
867,1
868,3
869,5
870,249
871,268
872,95
873,142
874,141
875,29
876,3
877,0
878,402
879,13
880,14
881,12
882,56
883,25
884,14
885,2
886,21
887,5
888,0
889,4
890,3
891,5
892,6
893,5
894,4
895,4
896,3
897,136
898,33
899,46
900,15
901,3
902,1
903,3
904,11
905,143
906,222
907,8
908,143
909,1
910,5
911,8
912,7
913,7
914,5
915,27
916,16
917,4
918,4
919,7
920,10
921,9
922,279
923,145
924,34
925,31
926,4
927,7
928,9
929,3
930,5
931,0
932,26
933,8
934,103
935,1
936,4
937,2
938,11
939,4
940,14
941,48
942,4
943,7
944,6
945,36
946,90
947,5
948,183
949,20
950,104
951,194
952,27
953,38
954,282
955,86
956,1
957,11
958,310
959,33
960,336
961,28
962,291
963,14
964,152
965,163
966,1015
967,260
968,497
969,77
970,553
971,567
972,1157
973,65
974,673
975,1
976,25
977,1
978,3
979,10
980,25
981,6
982,424
983,12645
984,0
985,9
986,7
987,11
988,8
989,6
990,51
991,12
992,92
993,38
994,33
995,40
996,6
997,22
998,4
999,2
1000,12
1001,3
1002,15
1003,760
1004,114
1005,10
1006,237
1007,293
1008,88
1009,193
1010,1368
1011,341
1012,112
1013,42
1014,8
1015,2
1016,377
1017,1362
1018,1042
1019,516
1020,739
1021,959
1022,1048
1023,1189
1024,501
1025,413
1026,212
1027,1
1028,16
1029,24
1030,50
1031,139
1032,5
1033,9
1034,25
1035,28
1036,15
1037,46
1038,9
1039,4
1040,89
1041,23
1042,20
1043,3
1044,7
1045,1802
1046,545
1047,954
1048,525
1049,1043
1050,415
1051,686
1052,998
1053,208
1054,11
1055,124
1056,25
1057,6
1058,16
1059,6
1060,14
1061,3
1062,11
1063,20
1064,3
1065,3
1066,3
1067,3
1068,3
1069,1
1070,4
1071,18
1072,11
1073,8
1074,20
1075,324
1076,18
1077,6
1078,2
1079,4
1080,5
1081,14
1082,17
1083,45
1084,6
1085,8
1086,13
1087,8
1088,5
1089,12
1090,7
1091,6
1092,14
1093,5
