Index,Value
794,343
795,424
796,484
797,272
798,419
799,389
800,613
801,410
802,317
803,378
804,30
805,86
806,469
807,1
808,0
809,4
810,203
811,306
812,169
813,322
814,442
815,268
816,366
817,242
818,287
819,298
820,114
821,357
822,209
823,389
824,99
825,364
826,15
827,379
828,99
829,641
830,367
831,394
832,472
833,299
834,476
835,456
836,309
837,367
838,461
839,236
840,413
841,240
842,0
843,114
844,279
845,219
846,371
847,134
848,305
849,342
850,535
851,202
852,294
853,623
854,225
855,396
856,320
857,425
858,207
859,243
860,312
861,187
862,244
863,413
864,302
865,117
866,328
867,355
868,237
869,280
870,0
871,107
872,0
873,1
874,0
875,419
876,515
877,206
878,0
879,0
880,665
881,332
882,249
883,422
884,333
885,115
886,497
887,596
888,62
889,538
890,359
891,748
892,653
893,453
894,543
895,524
896,698
897,587
898,454
899,820
900,98
901,246
902,180
903,549
904,185
905,92
906,106
907,58
908,402
909,412
910,415
911,867
912,577
913,356
914,550
915,752
916,394
917,135
918,380
919,212
920,74
921,431
922,0
923,64
924,323
925,323
926,318
927,235
928,368
929,206
930,335
931,189
932,0
933,511
934,345
935,269
936,209
937,360
938,574
939,457
940,326
941,637
942,297
943,305
944,322
945,51
946,274
947,397
948,0
949,463
950,368
951,369
952,814
953,492
954,1845
955,8
956,186
957,398
958,0
959,0
960,0
961,584
962,91
963,0
964,9
965,0
966,0
967,0
968,0
969,0
970,2
971,0
972,0
973,0
974,41
975,204
976,677
977,255
978,345
979,491
980,315
981,435
982,505
983,0
984,1
985,0
986,376
987,1244
988,0
989,0
990,587
991,0
992,282
993,122
994,41
995,571
996,463
997,1056
998,392
999,689
1000,669
1001,385
1002,1378
1003,52
1004,1041
1005,549
1006,312
1007,28
1008,3
1009,33
1010,2
1011,1424
1012,653
1013,617
1014,403
1015,138
1016,38
1017,0
1018,1
1019,0
1020,0
1021,0
1022,1
1023,1
1024,3
1025,0
1026,0
1027,77
1028,123
1029,527
1030,516
1031,55
1032,291
1033,537
1034,742
1035,478
1036,908
1037,469
1038,402
1039,413
1040,698
1041,867
1042,1077
1043,229
1044,484
1045,17
1046,2046
1047,0
1048,50
1049,0
1050,0
1051,9
1052,134
1053,743
1054,215
1055,177
1056,5
1057,158
1058,450
1059,474
1060,194
1061,622
1062,667
1063,1054
1064,473
1065,546
1066,915
1067,385
1068,458
1069,372
1070,287
1071,451
1072,708
1073,1293
1074,266
1075,464
1076,685
1077,461
1078,305
1079,299
1080,935
1081,774
1082,298
1083,338
1084,1160
1085,813
1086,860
1087,910
1088,579
1089,919
1090,627
1091,847
1092,857
1093,386
1094,1236
1095,696
1096,928
1097,186
1098,0
1099,165
1100,530
1101,426
1102,473
1103,498
1104,157
1105,338
1106,453
1107,403
1108,577
1109,459
1110,180
1111,685
1112,518
1113,616
1114,623
1115,757
1116,478
1117,761
1118,585
1119,558
1120,1043
1121,912
1122,782
1123,1479
1124,4
1125,0
1126,1280
1127,0
1128,326
1129,131
1130,394
1131,498
1132,457
1133,460
1134,25
1135,5
1136,12
1137,140
1138,15
1139,938
1140,372
1141,750
1142,589
1143,1173
1144,619
1145,331
1146,332
1147,177
1148,31
1149,674
1150,613
1151,475
1152,317
1153,313
1154,351
1155,762
1156,453
1157,358
1158,989
1159,219
1160,846
1161,1406
1162,615
1163,468
1164,326
1165,504
1166,0
1167,4
1168,1763
1169,510
1170,961
1171,190
1172,254
1173,417
1174,614
1175,22
1176,167
1177,64
1178,134
1179,101
1180,285
1181,506
1182,218
1183,445
1184,431
1185,412
1186,557
1187,479
1188,196
1189,412
1190,456
1191,260
1192,586
1193,2
1194,0
1195,0
1196,593
1197,398
1198,747
1199,463
1200,121
1201,234
1202,381
1203,830
1204,224
1205,123
1206,212
1207,335
1208,79
1209,98
1210,120
1211,570
1212,671
1213,633
1214,451
1215,157
1216,296
1217,114
1218,0
1219,0
1220,0
1221,4
1222,450
1223,594
1224,226
1225,248
1226,796
1227,619
1228,496
1229,389
1230,116
1231,464
1232,1257
1233,402
1234,619
1235,155
1236,375
1237,496
1238,229
1239,1524
1240,282
1241,237
1242,383
1243,138
1244,833
1245,471
1246,337
1247,736
1248,460
1249,812
1250,367
1251,37
1252,54
1253,62
1254,170
1255,36
1256,9
1257,301
1258,0
1259,267
1260,0
1261,282
1262,181
1263,1447
1264,347
1265,776
1266,772
1267,638
1268,471
1269,270
1270,524
1271,424
1272,332
1273,185
1274,39
1275,89
1276,82
1277,61
1278,245
1279,86
1280,125
1281,157
1282,218
1283,102
1284,48
1285,115
1286,156
1287,173
1288,350
1289,483
1290,592
1291,382
1292,355
1293,586
1294,468
1295,305
1296,435
1297,430
1298,816
1299,376
1300,366
1301,385
1302,593
1303,229
1304,357
1305,445
1306,630
1307,393
1308,648
1309,397
1310,271
1311,269
1312,927
1313,372
1314,646
1315,423
1316,537
1317,316
1318,139
1319,198
1320,97
1321,209
1322,130
1323,280
1324,184
1325,34
1326,239
1327,89
1328,986
1329,557
1330,1519
1331,582
1332,483
1333,414
1334,189
1335,244
1336,686
1337,865
1338,781
1339,717
1340,592
1341,521
1342,498
1343,1237
1344,333
1345,482
1346,209
1347,301
1348,417
1349,10
1350,256
1351,288
1352,181
1353,67
1354,365
1355,360
1356,282
1357,565
1358,134
1359,451
1360,213
1361,510
1362,221
1363,861
1364,364
1365,142
1366,113
1367,543
1368,279
1369,381
1370,317
1371,421
1372,45
1373,284
1374,589
1375,109
1376,180
1377,120
1378,1207
1379,257
1380,193
1381,91
1382,385
1383,86
1384,197
1385,242
1386,102
1387,232
1388,127
1389,98
1390,250
1391,317
1392,226
1393,779
1394,511
1395,423
1396,871
1397,521
1398,662
1399,618
1400,640
1401,558
1402,664
1403,755
1404,468
1405,707
1406,751
1407,588
1408,561
1409,4
1410,301
1411,35
1412,0
1413,55
1414,0
1415,565
1416,725
1417,111
1418,604
1419,240
1420,612
1421,250
1422,257
1423,374
1424,955
1425,341
1426,500
1427,254
1428,556
1429,247
1430,204
1431,229
1432,5
1433,544
1434,58
1435,1473
1436,720
1437,507
1438,416
1439,399
1440,490
1441,40
1442,0
1443,0
1444,0
1445,17
1446,0
1447,0
1448,81
1449,762
1450,1119
1451,257
