Index,Value
798,12
799,9
800,14
801,22
802,4
803,49
804,74
805,18
806,100
807,11
808,18
809,218
810,6
811,13
812,3
813,18
814,17
815,7
816,18
817,35
818,39
819,8
820,25
821,7
822,14
823,2
824,58
825,26
826,5
827,17
828,9
829,45
830,37
831,56
832,23
833,50
834,6
835,10
836,7
837,6
838,11
839,4
840,6
841,3
842,59
843,19
844,6
845,7
846,13
847,0
848,236
849,130
850,43
851,9
852,7
853,4
854,4
855,8
856,6
857,11
858,3
859,93
860,8
861,117
862,55
863,157
864,143
865,1
866,6
867,16
868,12
869,4
870,11
871,185
872,42
873,31
874,74
875,15
876,3
877,7
878,67
879,7
880,11
881,6
882,58
883,14
884,7
885,3
886,14
887,87
888,2
889,83
890,17
891,8
892,13
893,35
894,14
895,20
896,87
897,28
898,7
899,26
900,65
901,36
902,6
903,7
904,68
905,8
906,45
907,12
908,130
909,4
910,8
911,41
912,279
913,11
914,32
915,72
916,11
917,2
918,4
919,7
920,6
921,124
922,187
923,18
924,111
925,51
926,9
927,7
928,168
929,7
930,10
931,6
932,14
933,33
934,107
935,10
936,51
937,16
938,48
939,21
940,12
941,144
942,6
943,81
944,272
945,631
946,3
947,22
948,49
949,12
950,162
951,428
952,367
953,157
954,177
955,66
956,6
957,20
958,171
959,264
960,653
961,159
962,254
963,649
964,346
965,573
966,1185
967,123
968,61
969,175
970,1522
971,821
972,2135
973,2198
974,3078
975,2
976,13
977,2
978,49
979,162
980,88
981,8
982,199
983,2446
984,6
985,38
986,24
987,36
988,158
989,386
990,102
991,218
992,99
993,98
994,283
995,238
996,38
997,82
998,17
999,10
1000,14
1001,3
1002,121
1003,24
1004,186
1005,6
1006,44
1007,16
1008,1
1009,221
1010,25
1011,210
1012,115
1013,17
1014,26
1015,2
1016,85
1017,118
1018,159
1019,105
1020,306
1021,310
1022,437
1023,169
1024,54
1025,29
1026,40
1027,0
1028,23
1029,74
1030,83
1031,184
1032,2
1033,10
1034,23
1035,13
1036,96
1037,301
1038,153
1039,91
1040,52
1041,45
1042,132
1043,9
1044,6
1045,230
1046,93
1047,179
1048,64
1049,24
1050,29
1051,65
1052,306
1053,334
1054,399
1055,190
1056,18
1057,9
1058,25
1059,20
1060,338
1061,107
1062,125
1063,88
1064,33
1065,20
1066,19
1067,100
1068,6
1069,72
1070,248
1071,260
1072,42
1073,19
1074,22
1075,32
1076,14
1077,17
1078,3
1079,5
1080,21
1081,10
1082,96
1083,63
1084,31
1085,9
1086,42
1087,26
1088,23
1089,203
1090,138
1091,16
1092,299
1093,64
1094,12
1095,9
1096,16
1097,148
1098,78
1099,81
1100,12
1101,7
1102,28
1103,508
1104,1690
1105,399
1106,21
1107,3
1108,34
1109,6
1110,6
1111,51
1112,8
1113,13
1114,16
1115,30
1116,6
1117,3
1118,55
1119,5
1120,70
1121,77
1122,24
1123,568
1124,227
1125,1233
1126,357
1127,5
1128,19
1129,123
1130,5
1131,20
1132,9
1133,7
1134,288
1135,765
1136,279
1137,163
1138,147
1139,433
1140,19
1141,31
1142,368
1143,342
1144,58
1145,18
1146,28
1147,6
1148,9
1149,29
1150,9
1151,4
1152,2
1153,0
1154,31
1155,12
1156,13
1157,6
1158,15
1159,1
1160,13
1161,348
1162,15
1163,148
1164,76
1165,106
1166,1898
1167,163
1168,61
1169,18
1170,66
1171,8
1172,14
1173,288
1174,431
1175,207
1176,67
1177,70
1178,368
1179,167
1180,749
1181,71
1182,58
1183,140
1184,210
1185,24
1186,19
1187,3
1188,14
1189,4
1190,23
1191,4
1192,37
1193,75
1194,820
1195,255
1196,225
1197,25
1198,53
1199,132
1200,7
1201,4
1202,11
1203,3
1204,4
1205,0
1206,3
1207,3
1208,0
1209,0
1210,55
1211,21
1212,34
1213,18
1214,17
1215,3
1216,45
1217,72
1218,114
1219,12
1220,8
1221,57
1222,83
1223,29
1224,674
1225,200
1226,25
1227,129
1228,15
1229,45
1230,211
1231,11
1232,40
1233,42
1234,18
1235,2
1236,7
1237,21
1238,17
1239,33
1240,6
1241,30
1242,5
1243,3
1244,11
1245,233
1246,185
1247,260
1248,311
1249,32
1250,20
1251,81
1252,77
1253,156
1254,5
1255,389
1256,89
1257,4
1258,104
1259,53
1260,15
1261,15
1262,184
1263,234
1264,9
1265,149
1266,146
1267,11
1268,8
1269,2
1270,28
1271,11
1272,64
1273,3
1274,0
1275,3
1276,3
1277,1
1278,5
1279,4
1280,7
1281,16
1282,2
1283,1
1284,0
1285,0
1286,4
1287,10
1288,4
1289,7
1290,14
1291,6
1292,22
1293,5
1294,9
1295,5
1296,1
1297,5
1298,136
1299,76
1300,4
1301,30
1302,111
1303,9
1304,20
1305,23
1306,43
1307,605
1308,37
1309,281
1310,1
1311,3
1312,12
1313,12
1314,163
1315,12
1316,5
1317,24
1318,3
1319,5
1320,2
1321,5
1322,0
1323,3
1324,1
1325,0
1326,6
1327,3
1328,17
1329,62
1330,591
1331,22
1332,3
1333,2
1334,3
1335,4
1336,101
1337,8
1338,9
1339,6
1340,31
1341,8
1342,4
1343,21
1344,55
1345,15
1346,58
1347,3
1348,4
1349,859
1350,614
1351,178
1352,517
1353,213
1354,682
1355,48
1356,149
1357,3
1358,24
1359,29
1360,88
1361,57
1362,90
1363,7
1364,29
1365,5
1366,2
1367,12
1368,4
1369,10
1370,3
1371,10
1372,1
1373,1
1374,3
1375,3
1376,1
1377,8
1378,10
1379,2
1380,10
1381,16
1382,5
1383,1
1384,33
1385,4
1386,4
1387,5
1388,17
1389,12
1390,3
1391,35
1392,23
1393,43
1394,333
1395,331
1396,86
1397,27
1398,12
1399,20
1400,18
1401,27
1402,335
1403,147
1404,4
1405,9
1406,20
1407,4
1408,23
1409,195
1410,38
1411,1
1412,0
1413,14
1414,2
1415,38
1416,28
1417,24
1418,97
1419,12
1420,12
1421,2
1422,5
1423,7
1424,196
1425,20
1426,13
1427,3
1428,73
1429,7
1430,0
1431,3
1432,1
1433,11
1434,2
1435,17
1436,32
1437,117
1438,183
1439,326
1440,122
1441,784
1442,359
1443,70
1444,710
1445,266
1446,354
1447,436
1448,229
1449,21
1450,10
1451,128
1452,24
1453,12
1454,6
1455,15
1456,6
1457,25
1458,6
1459,123
1460,11
1461,1
1462,9
1463,1
1464,7
1465,50
1466,963
1467,18
1468,821
1469,8
1470,20
1471,126
1472,129
1473,2
1474,7
1475,13
1476,416
1477,5
1478,3
1479,0
1480,5
1481,103
1482,15
