Index,Value
799,2
800,6
801,6
802,1
803,134
804,557
805,122
806,317
807,756
808,50
809,2471
810,6
811,5
812,0
813,5
814,2
815,4
816,8
817,0
818,2
819,3
820,3
821,2
822,14
823,8
824,341
825,55
826,96
827,129
828,11
829,4
830,4
831,2
832,2
833,2
834,4
835,2
836,1
837,1
838,3
839,0
840,8
841,0
842,38
843,253
844,115
845,15
846,3
847,2
848,10
849,1
850,6
851,1
852,4
853,4
854,2
855,1
856,1
857,3
858,2
859,1
860,2
861,15
862,4
863,69
864,3
865,0
866,2
867,4
868,1
869,9
870,112
871,24
872,337
873,6638
874,960
875,134
876,2
877,25
878,218
879,33
880,7
881,2
882,16
883,4
884,8
885,0
886,14
887,2
888,0
889,12
890,7
891,4
892,2
893,8
894,1
895,9
896,1
897,165
898,11
899,14
900,6
901,3
902,1
903,2
904,2
905,23
906,22
907,5
908,36
909,0
910,7
911,6
912,6
913,2
914,70
915,43
916,1
917,0
918,4
919,70
920,20
921,10
922,90
923,40
924,9
925,11
926,7
927,4
928,7
929,2
930,2
931,4
932,2
933,6
934,4
935,2
936,0
937,2
938,14
939,2
940,5
941,9
942,3
943,8
944,13
945,7
946,14
947,17
948,331
949,3
950,26
951,45
952,12
953,6
954,79
955,249
956,2
957,2
958,124
959,128
960,641
961,14
962,18
963,25
964,84
965,823
966,969
967,1303
968,1270
969,483
970,646
971,204
972,929
973,60
974,308
975,2
976,5
977,3
978,1
979,7
980,7
981,1
982,11
983,181
984,1
985,5
986,18
987,17
988,17
989,21
990,4
991,5
992,17
993,11
994,17
995,9
996,1
997,8
998,7
999,5
1000,5
1001,0
1002,11
1003,10
1004,8
1005,0
1006,19
1007,138
1008,1
1009,3
1010,14
1011,22
1012,6
1013,3
1014,7
1015,0
1016,314
1017,1566
1018,440
1019,319
1020,405
1021,187
1022,606
1023,1638
1024,205
1025,289
1026,4195
1027,0
1028,13
1029,1
1030,3
1031,53
1032,3
1033,4
1034,7
1035,1
1036,9
1037,17
1038,5
1039,0
1040,7
1041,10
1042,5
1043,1
1044,2
1045,805
1046,823
1047,886
1048,413
1049,333
1050,357
1051,427
1052,480
1053,101
1054,7
1055,127
1056,0
1057,0
1058,10
1059,4
1060,67
1061,12
1062,23
1063,15
1064,27
1065,3
1066,5
1067,2
1068,4
1069,7
1070,1
1071,3
1072,4
1073,1
1074,18
1075,28
1076,1
1077,2
1078,2
1079,2
1080,4
1081,4
1082,3
1083,5
1084,11
1085,2
1086,5
1087,7
1088,0
1089,11
1090,7
1091,11
1092,14
1093,4
1094,7
1095,2
1096,11
1097,245
1098,302
1099,57
1100,3
1101,2
1102,5
1103,16
1104,14
1105,6
1106,3
1107,1
1108,4
1109,10
