Index,Value
785,41
786,26
787,121
788,107
789,39
790,21
791,48
792,30
793,45
794,22
795,35
796,40
797,80
798,71
799,43
800,40
801,61
802,29
803,181
804,279
805,53
806,203
807,133
808,11
809,1052
810,24
811,54
812,18
813,82
814,62
815,354
816,63
817,42
818,42
819,52
820,20
821,33
822,31
823,34
824,352
825,342
826,5
827,44
828,16
829,74
830,47
831,74
832,83
833,48
834,67
835,44
836,25
837,25
838,35
839,13
840,29
841,21
842,69
843,112
844,28
845,53
846,37
847,7
848,112
849,134
850,87
851,20
852,33
853,36
854,20
855,75
856,30
857,43
858,16
859,78
860,27
861,171
862,44
863,168
864,131
865,8
866,18
867,34
868,23
869,29
870,40
871,82
872,378
873,909
874,274
875,59
876,36
877,5
878,135
879,207
880,57
881,26
882,80
883,42
884,52
885,7
886,38
887,94
888,20
889,74
890,54
891,56
892,50
893,105
894,52
895,119
896,85
897,71
898,38
899,88
900,48
901,45
902,17
903,52
904,277
905,43
906,99
907,18
908,115
909,40
910,39
911,302
912,100
913,39
914,120
915,174
916,30
917,20
918,15
919,21
920,47
921,224
922,1766
923,210
924,112
925,107
926,35
927,43
928,45
929,14
930,30
931,27
932,13
933,69
934,90
935,82
936,127
937,88
938,227
939,170
940,195
941,221
942,25
943,389
944,249
945,209
946,22
947,300
948,31
949,33
950,225
951,226
952,275
953,198
954,1071
955,1117
956,12
957,88
958,410
959,28
960,561
961,302
962,454
963,46
964,629
965,254
966,1460
967,743
968,360
969,63
970,922
971,751
972,1918
973,833
974,1548
975,19
976,79
977,16
978,59
979,81
980,110
981,25
982,410
983,3216
984,10
985,17
986,112
987,73
988,38
989,108
990,161
991,195
992,398
993,441
994,316
995,253
996,76
997,276
998,1414
999,84
1000,73
1001,26
1002,143
1003,128
1004,398
1005,53
1006,262
1007,142
1008,22
1009,250
1010,77
1011,1954
1012,1119
1013,609
1014,139
1015,22
1016,126
1017,604
1018,607
1019,109
1020,225
1021,175
1022,278
1023,214
1024,398
1025,291
1026,704
1027,5
1028,27
1029,138
1030,230
1031,175
1032,15
1033,209
1034,77
1035,39
1036,145
1037,266
1038,285
1039,92
1040,115
1041,201
1042,343
1043,10
1044,28
1045,1042
1046,333
1047,268
1048,60
1049,134
1050,71
1051,248
1052,231
1053,333
1054,221
1055,250
1056,57
1057,24
1058,104
1059,40
1060,204
1061,144
1062,124
1063,283
1064,45
1065,432
1066,68
1067,77
1068,31
1069,19
1070,90
1071,131
1072,141
1073,87
1074,262
1075,111
1076,79
1077,47
1078,27
1079,21
1080,54
1081,84
1082,48
1083,64
1084,161
1085,102
1086,60
1087,210
1088,60
1089,567
1090,106
1091,100
1092,382
1093,53
1094,91
1095,59
1096,108
1097,459
1098,91
1099,206
1100,51
1101,44
1102,105
1103,153
1104,367
1105,227
1106,412
1107,165
1108,56
1109,69
1110,29
1111,67
1112,31
1113,42
1114,35
1115,55
1116,94
1117,49
1118,191
1119,47
1120,116
1121,369
1122,74
1123,1161
1124,2023
1125,427
1126,695
1127,1563
1128,389
1129,151
1130,73
1131,358
1132,576
1133,64
1134,712
1135,102
1136,109
1137,1982
1138,114
1139,908
1140,44
1141,70
1142,123
1143,182
1144,148
1145,35
1146,58
1147,24
1148,9
1149,100
1150,51
1151,51
1152,37
1153,29
1154,31
1155,57
1156,33
1157,28
1158,107
1159,16
1160,92
1161,277
1162,77
1163,90
1164,36
1165,50
1166,235
1167,202
1168,167
1169,74
1170,277
1171,32
1172,133
1173,225
1174,191
1175,96
1176,39
1177,197
1178,177
1179,945
1180,239
1181,155
1182,191
1183,152
1184,118
1185,95
1186,195
1187,38
1188,37
1189,39
1190,73
1191,19
